Id,dataset,K,nclim,prio,alpha,rel_dom,rel_irr,rel_eco,crel_dom,crel_irr,crel_eco
798,Princeton,120,133,3,0.9,85,84.6666666666667,91.3333333333333,93.5129412256904,83.4463880948316,89.6897278384775
799,Princeton,120,134,1,0.5,86.1666666666667,84.1666666666667,95,91.9215036163836,84.4599577188138,97.1087667155
800,Princeton,120,134,1,0.9,84.5,84.1666666666667,91.8333333333333,92.692939478898,81.8732727748749,98.89
801,Princeton,120,134,2,0.5,86.5,84.1666666666667,92.8333333333333,92.228695923513,84.4599577188138,93.7753363468554
802,Princeton,120,134,2,0.9,84.5,84.1666666666667,91.3333333333333,93.2914640136843,81.8732727748749,92.3952414584215
803,Princeton,120,134,3,0.5,86.5,84.5,91.1666666666667,92.228695923513,84.9968395026926,91.6681660453767
804,Princeton,120,134,3,0.9,84.5,84.3333333333333,91.1666666666667,93.2914640136843,82.7184338685691,89.078126946301
805,Princeton,120,135,1,0.5,85.1666666666667,83.5,94.8333333333333,91.5771917166182,83.8386710949661,96.7429357808923
806,Princeton,120,135,1,0.9,83.8333333333333,83.5,91.6666666666667,92.2613522507319,81.4429687039239,98.8795729563516
807,Princeton,120,135,2,0.5,86,83.5,92,91.892346169278,83.8386710949661,93.323105925363
808,Princeton,120,135,2,0.9,84,83.5,91,92.9064917088401,81.4429687039239,91.8789827340084
809,Princeton,120,135,3,0.5,86,84,90.8333333333333,91.892346169278,84.3504934588555,91.2805493776598
810,Princeton,120,135,3,0.9,84,83.6666666666667,90.8333333333333,92.9064917088401,82.219022368334,88.7819443756917
811,Princeton,120,136,1,0.5,84.3333333333333,82.6666666666667,94.6666666666667,91.1883720711951,83.2074200015909,96.7048101519505
812,Princeton,120,136,1,0.9,83,82.6666666666667,91.3333333333333,91.9286267108828,80.7025691166386,98.8353846153846
813,Princeton,120,136,2,0.5,84.8333333333333,82.6666666666667,91.6666666666667,91.5475763938903,83.2074200015909,92.8069827323456
814,Princeton,120,136,2,0.9,83,82.6666666666667,90.5,92.5862601812136,80.7025691166386,91.6992183424617
815,Princeton,120,136,3,0.5,84.8333333333333,83,90.3333333333333,91.5475763938903,83.7594102501576,90.5673144984239
816,Princeton,120,136,3,0.9,83,82.6666666666667,90.3333333333333,92.5862601812136,81.5184882196365,88.3886741776342
817,Princeton,120,137,1,0.5,83.6666666666667,82.3333333333333,94.3333333333333,90.753923512158,82.6853116920234,96.5163788371995
818,Princeton,120,137,1,0.9,82.8333333333333,82.3333333333333,90.6666666666667,91.62091520173,79.861465201964,98.7561296587945
819,Princeton,120,137,2,0.5,84.1666666666667,82.3333333333333,91,91.131670660836,82.6853116920234,92.4173379828265
820,Princeton,120,137,2,0.9,82.8333333333333,82.3333333333333,90.3333333333333,92.31104816135,79.861465201964,91.2673022610725
821,Princeton,120,137,3,0.5,84.1666666666667,82.8333333333333,90,91.131670660836,83.2301238734317,90.1701120970187
